Latitude,Longitude,RSRP10,Street Address
42.899413,-78.862063,-70,241 Maple St
42.899406,-78.862087,-70,243 Maple St
42.899985,-78.862449,-72,173 High St
42.899052,-78.8617,-72,206 Mulberry St
42.899052,-78.8617,-72,208 Mulberry St
42.89955,-78.861539,-72,222 Mulberry St
42.899828,-78.861681,-72,232 Mulberry St
42.899475,-78.861938,-72,245 Maple St
42.900059,-78.861854,-73,195 High St
42.900043,-78.861667,-73,201 High St
42.899283,-78.861626,-73,212 Mulberry St
42.899283,-78.861626,-73,212 Mulberry St
42.899283,-78.861626,-73,212 Mulberry St
42.899215,-78.861013,-73,215 Mulberry St
42.899396,-78.860954,-73,219 Mulberry St
42.89951,-78.860917,-73,225 Mulberry St
42.899002,-78.8621,-73,227 Maple St
42.899729,-78.861482,-73,230 Mulberry St
42.901596,-78.861266,-73,327 Maple St
42.898968,-78.860694,-74,188 Locust St
42.899235,-78.860623,-74,198 Locust St
42.899302,-78.8606,-74,200 Locust St
42.898907,-78.861113,-74,203 Mulberry St
42.899498,-78.860479,-74,212 Locust St
42.899665,-78.860954,-74,231 Mulberry St
42.899793,-78.860827,-74,235 Mulberry St
42.901718,-78.860842,-74,306 Mulberry St
42.901797,-78.860815,-74,308 Mulberry St
42.903192,-78.860582,-75,186 E North St
42.898948,-78.860086,-75,193 Locust St
42.899305,-78.860007,-75,205 Locust St
42.89972,-78.860464,-75,216 Locust St
42.899791,-78.860441,-75,218 Locust St
42.898723,-78.860886,-75,222 Carlton St
42.901895,-78.860272,-75,223 E North St
42.901895,-78.860272,-75,223 E North St
42.901895,-78.860272,-75,223 E North St APT 2
42.901895,-78.860272,-75,223 E North St LOWR
42.90153,-78.86087,-75,296 Mulberry St
42.898223,-78.858839,-76,122 Orange St
42.898789,-78.859697,-76,170 Lemon St
42.899249,-78.859568,-76,184 Lemon St
42.898632,-78.861853,-76,190 Mulberry St
42.899469,-78.859958,-76,211 Locust St
42.898831,-78.862267,-76,221 Maple St
42.901377,-78.860954,-76,292 Mulberry St
42.901726,-78.8602,-76,309 Mulberry St
42.897872,-78.859408,-77,131 Lemon St
42.897973,-78.859375,-77,133 Lemon St
42.898191,-78.859305,-77,145 Lemon St
42.898191,-78.859305,-77,145 Lemon St
42.898191,-78.859305,-77,145 Lemon St UNIT 1
42.898108,-78.860989,-77,156 Locust St
42.898952,-78.859064,-77,175 Lemon St # 1
42.899072,-78.859025,-77,181 Lemon St
42.898283,-78.861427,-77,183 Mulberry St
42.899448,-78.85954,-77,190 Lemon St
42.898643,-78.862183,-77,215 Maple St
42.898687,-78.862251,-77,217 Maple St
42.899727,-78.859833,-77,221 Locust St APT 2
42.900077,-78.8604,-77,233 High St
42.90007,-78.860309,-77,235 High St
42.898699,-78.859241,-77,262 Carlton St
42.898554,-78.859208,-77,264 Carlton St
42.898685,-78.859098,-77,268 Carlton St
42.901533,-78.860323,-77,301 Mulberry St
42.897888,-78.863484,-77,927 Michigan Ave
